ds,public.accounts,public.checking,public.savings
1650338127.6129386,5463105536,2215092224,2214985728
1650338127.7140284,5463105536,2215092224,2214985728
1650338127.815136,5463105536,2215092224,2214985728
1650338127.9162457,5463105536,2215092224,2214985728
1650338128.017352,5463105536,2215092224,2214985728
1650338128.1184456,5463105536,2215092224,2214985728
1650338128.2195506,5463105536,2215092224,2214985728
1650338128.3207233,5463105536,2215092224,2214985728
1650338128.421838,5463105536,2215092224,2214985728
1650338128.5228987,5463105536,2215092224,2214985728
1650338128.623917,5463105536,2215092224,2214985728
1650338128.7250202,5463105536,2215092224,2214993920
1650338128.8260717,5463105536,2215100416,2214993920
1650338128.9271932,5463105536,2215100416,2214993920
1650338129.0283027,5463105536,2215100416,2214993920
1650338129.1294467,5463105536,2215100416,2214993920
1650338129.2305884,5463105536,2215100416,2214993920
1650338129.3316844,5463105536,2215100416,2214993920
1650338129.4328363,5463105536,2215100416,2214993920
1650338129.533923,5463105536,2215100416,2214993920
1650338129.6349587,5463105536,2215100416,2214993920
1650338129.73605,5463105536,2215100416,2214993920
1650338129.8371716,5463105536,2215100416,2214993920
1650338129.9383664,5463105536,2215100416,2214993920
1650338130.0394766,5463105536,2215100416,2214993920
1650338130.1406035,5463105536,2215100416,2214993920
1650338130.2417085,5463105536,2215100416,2214993920
1650338130.342786,5463105536,2215100416,2214993920
1650338130.4439034,5463105536,2215100416,2214993920
1650338130.5450642,5463105536,2215100416,2214993920
1650338130.6461923,5463105536,2215100416,2214993920
1650338130.747312,5463105536,2215108608,2214993920
1650338130.84845,5463105536,2215108608,2214993920
1650338130.9495902,5463105536,2215108608,2214993920
1650338131.0507338,5463105536,2215108608,2214993920
1650338131.151873,5463105536,2215108608,2214993920
1650338131.2530012,5463105536,2215108608,2214993920
1650338131.3540628,5463105536,2215108608,2214993920
1650338131.455161,5463105536,2215108608,2214993920
1650338131.5563025,5463105536,2215108608,2214993920
1650338131.657436,5463105536,2215108608,2214993920
1650338131.7585602,5463105536,2215108608,2214993920
1650338131.8596745,5463105536,2215108608,2214993920
1650338131.9608495,5463105536,2215108608,2214993920
1650338132.062005,5463105536,2215108608,2214993920
1650338132.16309,5463105536,2215108608,2214993920
1650338132.2641807,5463105536,2215108608,2214993920
1650338132.3652558,5463105536,2215108608,2214993920
1650338132.4663785,5463105536,2215108608,2214993920
1650338132.5674987,5463105536,2215108608,2214993920
1650338132.6686223,5463105536,2215108608,2214993920
1650338132.7697659,5463105536,2215108608,2214993920
1650338132.8708482,5463105536,2215116800,2214993920
1650338132.9718866,5463105536,2215116800,2214993920
1650338133.0730374,5463105536,2215116800,2214993920
1650338133.1741333,5463105536,2215116800,2214993920
1650338133.275226,5463105536,2215116800,2214993920
1650338133.3763416,5463105536,2215116800,2214993920
1650338133.4774668,5463105536,2215116800,2214993920
1650338133.5785935,5463105536,2215116800,2214993920
1650338133.6797004,5463105536,2215116800,2214993920
1650338133.78082,5463105536,2215116800,2214993920
1650338133.8819027,5463105536,2215116800,2214993920
1650338133.9829924,5463105536,2215116800,2214993920
1650338134.0840921,5463105536,2215116800,2214993920
1650338134.1851807,5463105536,2215116800,2214993920
1650338134.2862303,5463105536,2215116800,2214993920
1650338134.3872185,5463105536,2215116800,2214993920
1650338134.488298,5463105536,2215116800,2214993920
1650338134.5894876,5463105536,2215116800,2214993920
1650338134.6906614,5463105536,2215116800,2214993920
1650338134.7918053,5463105536,2215124992,2214993920
1650338134.8929224,5463105536,2215124992,2215002112
1650338134.9940195,5463105536,2215124992,2215002112
1650338135.095093,5463105536,2215124992,2215002112
1650338135.1962142,5463105536,2215124992,2215002112
1650338135.2973554,5463105536,2215124992,2215002112
