ds,table_name,pg_stat_get_live_tuples,pg_stat_get_dead_tuples,pg_table_size,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1650448401.5272517,public.usertable,61163,6946,86761472,16943,public,usertable,1,0,503091,3004548,73762,24879,12493,11134,61163,6946,14252,7000,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448402.5518143,public.usertable,61350,7207,86761472,16943,public,usertable,1,0,508737,3025299,74053,25097,12597,11223,61350,7207,14865,7291,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448403.5772793,public.usertable,61535,7420,86761472,16943,public,usertable,1,0,514791,3045850,74332,25264,12691,11280,61535,7420,15405,7570,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448404.603848,public.usertable,61702,7666,86761472,16943,public,usertable,1,0,520418,3062653,74594,25461,12786,11358,61702,7666,15959,7832,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448405.6284084,public.usertable,61889,7910,86761472,16943,public,usertable,1,0,525978,3081776,74869,25654,12874,11422,61889,7910,16515,8107,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448406.655562,public.usertable,62077,8141,86761472,16943,public,usertable,1,0,532181,3103761,75160,25844,12977,11479,62077,8141,17099,8398,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448407.6815732,public.usertable,62279,8394,86761472,16943,public,usertable,1,0,538246,3123253,75459,26054,13074,11549,62279,8394,17705,8697,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448408.7074268,public.usertable,62431,8639,86761472,16943,public,usertable,1,0,544343,3144895,75708,26260,13171,11608,62431,8639,18257,8946,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448409.7344666,public.usertable,62615,8889,86761472,16943,public,usertable,1,0,550691,3165323,75995,26475,13274,11656,62615,8889,18862,9233,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448410.7610562,public.usertable,62796,9128,86761472,16943,public,usertable,1,0,556719,3187323,76285,26666,13383,11719,62796,9128,19452,9523,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448411.787888,public.usertable,62951,9376,86761472,16943,public,usertable,1,0,562677,3203041,76551,26852,13494,11784,62951,9376,20015,9789,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448412.8145688,public.usertable,63180,9584,86761472,16943,public,usertable,1,0,568297,3226513,76861,27029,13575,11831,63180,9584,20583,10099,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448413.8389854,public.usertable,63416,9931,86761472,16943,public,usertable,1,0,577027,3258521,77245,27307,13723,11917,63416,9931,21393,10483,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448414.8634741,public.usertable,63625,10164,86761472,16943,public,usertable,1,0,583006,3280011,77542,27507,13811,11980,63625,10164,21978,10780,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448415.8887918,public.usertable,63859,10393,87023616,16943,public,usertable,1,0,589096,3298766,77855,27707,13890,12042,63859,10393,22570,11093,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448416.913858,public.usertable,64022,10635,87498752,16943,public,usertable,1,0,595308,3320379,78128,27897,14000,12103,64022,10635,23143,11366,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448417.9382906,public.usertable,64199,10883,87982080,16943,public,usertable,1,0,601217,3338823,78405,28089,14100,12157,64199,10883,23712,11643,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
